"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:1341157","Sox30","ENSMUSG00000040489","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98371","Sox9","ENSMUSG00000000567","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1926162","Sp2","ENSMUSG00000018678","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1932575","Sp6","ENSMUSG00000038560","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922872","Spaca3","ENSMUSG00000053184","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1927470","Spag5","ENSMUSG00000002055","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107380","Spag7","ENSMUSG00000018287","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918084","Spag9","ENSMUSG00000020859","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98373","Sparc","ENSMUSG00000018593","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2183449","Spata20","ENSMUSG00000020867","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2685728","Spata22","ENSMUSG00000069825","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3045340","Spata32","ENSMUSG00000044787","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917635","Spdl1","ENSMUSG00000069910","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442356","Specc1","ENSMUSG00000042331","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921538","Spem1","ENSMUSG00000041165","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1316649","Sphk1","ENSMUSG00000061878","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384936","Spns2","ENSMUSG00000040447","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924827","Spns3","ENSMUSG00000020798","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1343085","Spop","ENSMUSG00000057522","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3045264","Sppl2c","ENSMUSG00000049506","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2150019","Spred2","ENSMUSG00000045671","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98388","Sptbn1","ENSMUSG00000020315","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107931","Sqstm1","ENSMUSG00000015837","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1933179","Srcin1","ENSMUSG00000038453","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107606","Srebf1","ENSMUSG00000020538","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917447","Srp68","ENSMUSG00000020780","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1351636","Srr","ENSMUSG00000001323","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98283","Srsf1","ENSMUSG00000018379","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98284","Srsf2","ENSMUSG00000034120","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2679255","Ssh2","ENSMUSG00000037926","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98328","Sstr2","ENSMUSG00000047904","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1341826","St6galnac1","ENSMUSG00000009588","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107553","St6galnac2","ENSMUSG00000057286","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144518","Stac2","ENSMUSG00000017400","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1929618","Stard3","ENSMUSG00000018167","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:103038","Stat3","ENSMUSG00000004040","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:103036","Stat5a","ENSMUSG00000004043","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:103035","Stat5b","ENSMUSG00000020919","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1316731","Stc2","ENSMUSG00000020303","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1099439","Stk10","ENSMUSG00000020272","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:894324","Stra13","ENSMUSG00000025144","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919399","Strada","ENSMUSG00000069631","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1890156","Stx8","ENSMUSG00000020903","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1342296","Stxbp4","ENSMUSG00000020546","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2158813","Sumo2","ENSMUSG00000020738","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3041199","Sun3","ENSMUSG00000040985","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107416","Supt4a","ENSMUSG00000020485","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107726","Supt6","ENSMUSG00000002052","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1261758","Suz12","ENSMUSG00000017548","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1328324","Syngr2","ENSMUSG00000048277","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1354742","Synrg","ENSMUSG00000034940","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1931130","Tac4","ENSMUSG00000020872","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917457","Taco1","ENSMUSG00000001983","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144471","Tada2a","ENSMUSG00000018651","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917689","Taf15","ENSMUSG00000020680","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444121","Tanc2","ENSMUSG00000053580","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914490","Taok1","ENSMUSG00000017291","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923531","Tax1bp3","ENSMUSG00000040158","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144164","Tbc1d10a","ENSMUSG00000034412","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2652878","Tbc1d16","ENSMUSG00000039976","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924045","Tbc1d9b","ENSMUSG00000036644","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919686","Tbcd","ENSMUSG00000039230","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920424","Tbkbp1","ENSMUSG00000038517","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1100868","Tbrg4","ENSMUSG00000000384","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98494","Tbx2","ENSMUSG00000000093","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1888984","Tbx21","ENSMUSG00000001444","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:102556","Tbx4","ENSMUSG00000000094","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923120","Tcam1","ENSMUSG00000020712","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1330233","Tcap","ENSMUSG00000007877","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98507","Tcf7","ENSMUSG00000000782","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98534","Tcn2","ENSMUSG00000020432","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915800","Tefm","ENSMUSG00000046909","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1333819","Tekt1","ENSMUSG00000020799","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918312","Tekt3","ENSMUSG00000042189","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1916785","Ten1","ENSMUSG00000020778","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1345184","Tenm2","ENSMUSG00000049336","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1933227","Tex14","ENSMUSG00000010342","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920929","Tex19.1","ENSMUSG00000039329","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1918206","Tex19.2","ENSMUSG00000039337","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:102465","Tex2","ENSMUSG00000040548","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98734","Tgtp1","ENSMUSG00000078922","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3710083","Tgtp2","ENSMUSG00000078921","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919026","Tha1","ENSMUSG00000017713","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1913878","Thg1l","ENSMUSG00000011254","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1351333","Thoc5","ENSMUSG00000034274","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98742","Thra","ENSMUSG00000058756","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2159681","Timd2","ENSMUSG00000040413","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2445125","Timd4","ENSMUSG00000055546","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1929742","Timm22","ENSMUSG00000020843","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98753","Timp2","ENSMUSG00000017466","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98763","Tk1","ENSMUSG00000025574","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915572","Tlcd1","ENSMUSG00000019437","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917141","Tlcd2","ENSMUSG00000038217","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1346023","Tlk2","ENSMUSG00000020694","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1351209","Tlx3","ENSMUSG00000040610","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922854","Tm4sf5","ENSMUSG00000018919","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1098686","Tmc6","ENSMUSG00000025572","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2669037","Tmc8","ENSMUSG00000050106","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915070","Tmed4","ENSMUSG00000004394","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915138","Tmem100","ENSMUSG00000069763","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923797","Tmem101","ENSMUSG00000020921","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921591","Tmem102","ENSMUSG00000089876","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444222","Tmem104","ENSMUSG00000045980","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922056","Tmem106a","ENSMUSG00000034947","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914160","Tmem107","ENSMUSG00000020895","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144726","Tmem11","ENSMUSG00000043284","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2685490","Tmem132e","ENSMUSG00000020701","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144205","Tmem17","ENSMUSG00000049904","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144113","Tmem199","ENSMUSG00000051232","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443691","Tmem220","ENSMUSG00000050270","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3651706","Tmem235","ENSMUSG00000070330","protein coding gene","NOVEL_protein_coding|protein-coding|protein_coding"
"MGI:1916436","Tmem256","ENSMUSG00000070394","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914270","Tmem88","ENSMUSG00000045377","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3034723","Tmem92","ENSMUSG00000075610","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3779488","Tmem95","ENSMUSG00000094845","protein coding gene","protein-coding|protein_coding"
"MGI:1916321","Tmem97","ENSMUSG00000037278","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923457","Tmem98","ENSMUSG00000035413","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1913851","Tmigd1","ENSMUSG00000020839","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919303","Tmub2","ENSMUSG00000034757","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:104961","Tnfaip1","ENSMUSG00000017615","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1889411","Tnfrsf13b","ENSMUSG00000010142","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1916833","Tnfsf13","ENSMUSG00000089669","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1926194","Tnip1","ENSMUSG00000020400","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1930958","Tnk1","ENSMUSG00000001583","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443265","Tnrc6c","ENSMUSG00000025571","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443012","Tns3","ENSMUSG00000020422","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144377","Tns4","ENSMUSG00000017607","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1349721","Tob1","ENSMUSG00000037573","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919193","Tom1l1","ENSMUSG00000020541","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443306","Tom1l2","ENSMUSG00000000538","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98790","Top2a","ENSMUSG00000020914","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1197527","Top3a","ENSMUSG00000002814","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1202880","Traf4","ENSMUSG00000017386","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1098727","Trappc1","ENSMUSG00000049299","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2137355","Trim11","ENSMUSG00000020455","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2137356","Trim16","ENSMUSG00000047821","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1861440","Trim17","ENSMUSG00000036964","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:102749","Trim25","ENSMUSG00000000275","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2153072","Trim37","ENSMUSG00000018548","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384814","Trim41","ENSMUSG00000040365","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917374","Trim47","ENSMUSG00000020773","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2684862","Trim58","ENSMUSG00000037124","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442815","Trim65","ENSMUSG00000054517","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2137353","Trim7","ENSMUSG00000040350","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98834","Trp53","ENSMUSG00000059552","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915125","Trp53i13","ENSMUSG00000044328","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1341787","Trpv1","ENSMUSG00000005952","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1341836","Trpv2","ENSMUSG00000018507","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2181407","Trpv3","ENSMUSG00000043029","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923515","Tsen54","ENSMUSG00000020781","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384781","Tspan10","ENSMUSG00000039691","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144566","Tsr1","ENSMUSG00000038335","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914077","Ttc1","ENSMUSG00000041278","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1920045","Ttc19","ENSMUSG00000042298","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921657","Ttc25","ENSMUSG00000006784","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2683461","Ttll6","ENSMUSG00000038756","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2157091","Ttyh2","ENSMUSG00000034714","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1891826","Tubd1","ENSMUSG00000020513","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:101834","Tubg1","ENSMUSG00000035198","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144208","Tubg2","ENSMUSG00000045007","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3029307","Tusc5","ENSMUSG00000046275","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914760","Tvp23b","ENSMUSG00000014177","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1289248","Txndc17","ENSMUSG00000020803","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914635","Ubald2","ENSMUSG00000050628","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98888","Ubb","ENSMUSG00000019505","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:102944","Ube2b","ENSMUSG00000020390","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914378","Ube2g1","ENSMUSG00000020794","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444266","Ube2o","ENSMUSG00000020802","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1343160","Ube2z","ENSMUSG00000014349","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1933105","Ublcp1","ENSMUSG00000041231","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444752","Ubtd2","ENSMUSG00000044949","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98512","Ubtf","ENSMUSG00000020923","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2183447","Ugp2","ENSMUSG00000001891","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1352758","Ulk2","ENSMUSG00000004798","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1328357","Unc119","ENSMUSG00000002058","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917700","Unc13d","ENSMUSG00000057948","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2443377","Unc45b","ENSMUSG00000018845","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442456","Unk","ENSMUSG00000020770","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1097668","Upp1","ENSMUSG00000020407","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1913402","Uqcr10","ENSMUSG00000059534","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107807","Uqcrq","ENSMUSG00000044894","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919296","Urgcp","ENSMUSG00000049680","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2450757","Ush1g","ENSMUSG00000045288","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144157","Usp22","ENSMUSG00000042506","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144475","Usp32","ENSMUSG00000000804","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:109473","Usp34","ENSMUSG00000056342","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919594","Usp36","ENSMUSG00000033909","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444541","Usp43","ENSMUSG00000020905","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923402","Utp18","ENSMUSG00000054079","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2445193","Utp6","ENSMUSG00000035575","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2183450","Uts2r","ENSMUSG00000039321","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1313277","Vamp2","ENSMUSG00000020894","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1349450","Vat1","ENSMUSG00000034993","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106919","Vdac1","ENSMUSG00000020402","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1313291","Vezf1","ENSMUSG00000018377","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2685587","Vmo1","ENSMUSG00000020830","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923159","Vmp1","ENSMUSG00000018171","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106354","Vps25","ENSMUSG00000078656","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1915549","Vps53","ENSMUSG00000017288","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2178798","Vps54","ENSMUSG00000020128","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917172","Vrk2","ENSMUSG00000064090","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384826","Vstm2a","ENSMUSG00000048834","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98940","Vtn","ENSMUSG00000017344","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2442987","Vwc2","ENSMUSG00000050830","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98943","Wap","ENSMUSG00000000381","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:104709","Wbp2","ENSMUSG00000034341","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144467","Wdpcp","ENSMUSG00000020319","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919110","Wdr16","ENSMUSG00000020904","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914090","Wdr45b","ENSMUSG00000025173","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2681828","Wdr81","ENSMUSG00000045374","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144224","Wdr92","ENSMUSG00000078970","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3649773","Wfdc17","ENSMUSG00000069792","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:107506","Wfdc18","ENSMUSG00000000983","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2669209","Wfikkn2","ENSMUSG00000044177","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1924462","Wipf2","ENSMUSG00000038013","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1261864","Wipi1","ENSMUSG00000041895","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917097","Wnk4","ENSMUSG00000035112","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98955","Wnt3","ENSMUSG00000000125","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98956","Wnt3a","ENSMUSG00000009900","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2446084","Wnt9a","ENSMUSG00000000126","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1197020","Wnt9b","ENSMUSG00000018486","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384933","Wrap53","ENSMUSG00000041346","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1926139","Wsb1","ENSMUSG00000017677","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2448493","Wscd1","ENSMUSG00000020811","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2388637","Wwc1","ENSMUSG00000018849","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:3772572","Xaf1","ENSMUSG00000040483","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:98970","Xbp1","ENSMUSG00000020484","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2144013","Xpo1","ENSMUSG00000020290","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444797","Xylt2","ENSMUSG00000020868","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1096372","Ybx2","ENSMUSG00000018554","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1927550","Ykt6","ENSMUSG00000002741","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1925114","Ypel2","ENSMUSG00000018427","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:894689","Ywhae","ENSMUSG00000020849","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1922830","Zbtb4","ENSMUSG00000018750","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1196228","Zcchc10","ENSMUSG00000018239","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:99167","Zfp2","ENSMUSG00000049321","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1340045","Zfp207","ENSMUSG00000017421","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2384758","Zfp286","ENSMUSG00000047342","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
