"gene_id","marker_symbol","ensembl_id","feature_types","biotypes"
"MGI:2444149","A830018L16Rik","ENSMUSG00000057715","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2444149","A830018L16Rik","ENSMUSG00000095719","protein coding gene|protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138143","AA986860","ENSMUSG00000042510","protein coding gene","protein-coding|protein_coding"
"MGI:107809","Aamp","ENSMUSG00000006299","protein coding gene","protein-coding|protein_coding"
"MGI:2676312","Abca12","ENSMUSG00000050296","protein coding gene","protein-coding|protein_coding"
"MGI:1921354","Abcb6","ENSMUSG00000026198","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106913","Abi2","ENSMUSG00000026782","protein coding gene","protein-coding|protein_coding"
"MGI:87860","Abl2","ENSMUSG00000026596","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:87866","Acadl","ENSMUSG00000026003","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2181074","Acbd3","ENSMUSG00000026499","protein coding gene","protein-coding|protein_coding"
"MGI:1919732","Acbd6","ENSMUSG00000033701","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2386323","Acmsd","ENSMUSG00000026348","protein coding gene","protein-coding|protein_coding"
"MGI:1921455","Acsl3","ENSMUSG00000032883","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1917446","Actr1b","ENSMUSG00000037351","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1921367","Actr3","ENSMUSG00000026341","protein coding gene","protein-coding|protein_coding"
"MGI:1345162","Adam23","ENSMUSG00000025964","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1339949","Adamts4","ENSMUSG00000006403","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1914676","Adck3","ENSMUSG00000026489","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2660854","Adcy10","ENSMUSG00000026567","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1923437","Adhfe1","ENSMUSG00000025911","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919924","Adipor1","ENSMUSG00000026457","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:99401","Adora1","ENSMUSG00000042429","protein coding gene","protein-coding|protein_coding"
"MGI:87948","Adss","ENSMUSG00000015961","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:106927","Aff3","ENSMUSG00000037138","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2653690","Agap1","ENSMUSG00000055013","protein coding gene","protein-coding|protein_coding"
"MGI:1333754","Agfg1","ENSMUSG00000026159","protein coding gene","protein-coding|protein_coding"
"MGI:1329033","Agxt","ENSMUSG00000026272","protein coding gene","protein-coding|protein_coding"
"MGI:1915033","Ahctf1","ENSMUSG00000026491","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138299","AI597479","ENSMUSG00000010290","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:2138302","AI607873","ENSMUSG00000073490","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1919737","Aida","ENSMUSG00000042901","protein coding gene","protein-coding|protein_coding"
"MGI:2686159","Aim2","ENSMUSG00000037860","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:87984","Akp3","ENSMUSG00000036500","protein coding gene","protein-coding|protein_coding"
"MGI:1918111","Akr1cl","ENSMUSG00000025955","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1345147","Akt3","ENSMUSG00000019699","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
"MGI:1861622","Aldh9a1","ENSMUSG00000026687","protein coding gene","protein-coding|protein_coding"
"MGI:1924018","Alpi","ENSMUSG00000079440","protein coding gene","protein-coding|protein_coding"
"MGI:108009","Alppl2","ENSMUSG00000026246","protein coding gene","protein-coding|protein_coding"
"MGI:1921268","Als2","ENSMUSG00000026024","protein coding gene","KNOWN_protein_coding|protein-coding|protein_coding"
